inv_numb,node,x,y,w,h,neighbors
inv-0001,"(0, 0)",71,63,604,22,"[(1, 0)]"
inv-0001,"(0, 1)",1489,62,205,30,"[(1, 1)]"
inv-0001,"(1, 0)",72,91,254,17,"[(0, 0), (2, 0), (1, 1)]"
inv-0001,"(1, 1)",373,96,15,12,"[(0, 1), (1, 0)]"
inv-0001,"(1, 2)",1552,95,142,14,[]
inv-0001,"(2, 0)",1505,111,185,14,"[(1, 0), (3, 0)]"
inv-0001,"(3, 0)",1339,127,356,14,"[(2, 0), (4, 0)]"
inv-0001,"(4, 0)",1650,145,45,14,"[(3, 0), (5, 0)]"
inv-0001,"(5, 0)",74,163,405,16,"[(4, 0), (6, 0)]"
inv-0001,"(6, 0)",73,185,390,17,"[(5, 0), (7, 0)]"
inv-0001,"(7, 0)",74,207,334,16,"[(6, 0), (8, 0)]"
inv-0001,"(8, 0)",74,231,285,15,"[(7, 0), (9, 0)]"
inv-0001,"(9, 0)",74,253,927,17,"[(8, 0), (10, 0)]"
inv-0001,"(10, 0)",74,276,607,16,"[(9, 0), (11, 0)]"
inv-0001,"(11, 0)",74,299,640,16,"[(10, 0), (12, 0)]"
inv-0001,"(12, 0)",73,321,519,17,"[(11, 0), (13, 0)]"
inv-0001,"(13, 0)",74,344,348,16,"[(12, 0), (14, 0)]"
inv-0001,"(14, 0)",74,367,384,17,"[(13, 0), (15, 0)]"
inv-0001,"(15, 0)",73,391,634,17,"[(14, 0), (16, 0)]"
inv-0001,"(16, 0)",884,444,79,13,"[(15, 0), (17, 0)]"
inv-0001,"(16, 1)",1305,446,78,12,"[(17, 1), (16, 2)]"
inv-0001,"(16, 2)",1455,449,52,15,"[(17, 2), (16, 1)]"
inv-0001,"(17, 0)",87,482,374,55,"[(16, 0), (18, 0), (17, 1)]"
inv-0001,"(17, 1)",481,482,51,56,"[(16, 1), (18, 1), (17, 0), (17, 2)]"
inv-0001,"(17, 2)",547,466,146,15,"[(16, 2), (18, 2), (17, 1), (17, 3)]"
inv-0001,"(17, 3)",708,483,57,56,"[(18, 3), (17, 2), (17, 4)]"
