filename,img_h,img_w,x,y,w,h,chars,in_table,label,above_1,between,below_2
inv-0000,2339,1653,330,141,917,21,83,False,misc,True,False,False
inv-0000,2339,1653,336,162,917,22,78,False,misc,True,False,False
inv-0000,2339,1653,417,187,749,19,69,False,misc,True,False,False
inv-0000,2339,1653,101,472,994,41,50,False,doc_id,False,True,False
inv-0000,2339,1653,1189,449,67,46,1,False,misc,False,True,False
inv-0000,2339,1653,100,568,112,19,8,False,info,False,True,False
inv-0000,2339,1653,315,556,1109,29,84,False,info,False,True,False
inv-0000,2339,1653,316,586,628,26,50,False,info,False,True,False
inv-0000,2339,1653,100,647,120,21,10,False,info,False,True,False
inv-0000,2339,1653,317,636,1100,29,83,False,info,False,True,False
inv-0000,2339,1653,317,668,348,24,29,False,info,False,True,False
inv-0000,2339,1653,101,727,113,17,9,False,info,False,True,False
inv-0000,2339,1653,316,721,441,24,32,False,info,False,True,False
inv-0000,2339,1653,1247,900,252,21,18,False,total,False,False,False
inv-0000,2339,1653,1118,933,199,21,14,False,total,False,False,True
inv-0000,2339,1653,1367,931,132,21,10,False,total,False,False,True
inv-0000,2339,1653,1173,963,326,22,22,False,total,False,False,True
inv-0000,2339,1653,105,1001,548,24,39,False,verif,False,False,True
inv-0000,2339,1653,106,1028,1012,27,71,False,verif,False,False,True
inv-0000,2339,1653,1160,1111,328,24,24,False,misc,False,False,True
inv-0000,2339,1653,107,1151,156,20,12,False,misc,False,False,True
inv-0000,2339,1653,323,1147,236,22,16,False,misc,False,False,True
inv-0000,2339,1653,916,1149,72,44,3,False,misc,False,False,True
inv-0000,2339,1653,990,1139,35,54,3,False,misc,False,False,True
inv-0000,2339,1653,1150,1138,349,46,28,False,misc,False,False,True
inv-0000,2339,1653,452,1207,90,14,9,False,misc,False,False,True
inv-0000,2339,1653,897,1197,75,19,7,False,misc,False,False,True
inv-0000,2339,1653,1268,1196,191,18,18,False,misc,False,False,True
inv-0000,2339,1653,1232,1251,186,23,13,False,misc,False,False,True
inv-0000,2339,1653,108,1288,332,22,26,False,misc,False,False,True
inv-0000,2339,1653,914,1322,4,4,1,False,misc,False,False,True
inv-0000,2339,1653,963,1289,19,17,1,False,misc,False,False,True
inv-0000,2339,1653,1156,1279,341,45,40,False,misc,False,False,True
